Row Labels,Average of Total_goals,,,,,,,,,,,,,,,
2000-01,2.61,,,,,,,,,,,,,,,
2001-02,2.63,,,,Row Labels,Average of Total_fouls,Average of Total_yellow_cards,Average of Total_red_cards,,,,,Row Labels,Average of Total_corners,Average of Total_shots,Average of Total_shots_on_target
2002-03,2.63,,,,2000-01,26.92,3.14,0.17,,,,,2000-01,10.94,22.17,10.69
2003-04,2.66,,,,2001-02,26.61,3.07,0.19,,,,,2001-02,11.05,21.48,10.15
2004-05,2.57,,,,2002-03,25.44,3.01,0.20,,,,,2002-03,11.59,22.42,11.87
2005-06,2.48,,,,2003-04,25.77,2.84,0.15,,,,,2003-04,11.15,23.18,12.57
2006-07,2.45,,,,2004-05,26.09,2.71,0.16,,,,,2004-05,10.78,22.21,11.76
2007-08,2.64,,,,2005-06,26.31,3.09,0.20,,,,,2005-06,10.66,21.56,11.19
2008-09,2.48,,,,2006-07,25.05,3.22,0.14,,,,,2006-07,11.28,22.51,11.45
2009-10,2.77,,,,2007-08,24.38,3.20,0.16,,,,,2007-08,11.06,23.11,12.49
2010-11,2.80,,,,2008-09,23.22,3.15,0.17,,,,,2008-09,11.10,24.36,13.16
2011-12,2.81,,,,2009-10,24.19,3.26,0.18,,,,,2009-10,11.19,24.45,13.65
2012-13,2.80,,,,2010-11,22.42,3.25,0.17,,,,,2010-11,11.04,24.87,13.61
2013-14,2.77,,,,2011-12,20.36,3.10,0.17,,,,,2011-12,11.39,25.97,14.67
2014-15,2.57,,,,2012-13,20.93,3.12,0.14,,,,,2012-13,11.15,25.14,14.24
2015-16,2.70,,,,2013-14,21.53,3.19,0.14,,,,,2013-14,10.77,26.88,8.92
2016-17,2.80,,,,2014-15,22.69,3.59,0.19,,,,,2014-15,10.69,25.91,8.41
2017-18,2.68,,,,2015-16,21.52,3.10,0.16,,,,,2015-16,10.83,25.71,8.51
2018-19,2.82,,,,2016-17,22.72,3.63,0.11,,,,,2016-17,10.41,25.50,8.67
2019-20,2.72,,,,2017-18,20.70,3.04,0.10,,,,,2017-18,10.29,24.45,8.39
2020-21,2.69,,,,2018-19,20.46,3.21,0.12,,,,,2018-19,10.26,25.28,8.71
2021-22,2.79,,,,2019-20,21.47,3.35,0.12,,,,,2019-20,10.71,24.72,8.55
Grand Total,2.67,,,,2020-21,21.77,2.87,0.12,,,,,2020-21,10.19,24.18,8.63
,,,,,2021-22,20.46,3.48,0.11,,,,,2021-22,10.45,25.47,8.79
,,,,,Grand Total,23.25,3.16,0.15,,,,,Grand Total,10.87,24.15,10.89
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Row Labels,Average of Full_time_home_goals,,,Row Labels,Average of Full_time_away_goals,,,,,,,,,,
,Arsenal,2.13,,,Arsenal,1.61,,,,,,,,,,
,Aston Villa,1.27,,,Aston Villa,1.13,,,,,,,,,,
,Birmingham,1.22,,,Birmingham,0.83,,,,,,,,,,
,Blackburn,1.38,,,Blackburn,1.10,,,,,,,,,,
,Blackpool,1.58,,,Blackpool,1.32,,,,,,,,,,
,Bolton,1.33,,,Bolton,1.04,,,,,,,,,,
,Bournemouth,1.43,,,Bournemouth,1.11,,,,,,,,,,
,Bradford,1.05,,,Bradford,0.53,,,,,,,,,,
,Brentford,1.13,,,Brentford,1.31,,,,,,,,,,
,Brighton,1.03,,,Brighton,0.89,,,,,,,,,,
,Burnley,1.05,,,Burnley,0.91,,,,,,,,,,
,Cardiff,1.08,,,Cardiff,0.66,,,,,,,,,,
,Charlton,1.35,,,Charlton,0.92,,,,,,,,,,
,Chelsea,2.09,,,Chelsea,1.60,,,,,,,,,,
,Coventry,0.74,,,Coventry,1.16,,,,,,,,,,
,Crystal Palace,1.13,,,Crystal Palace,1.13,,,,,,,,,,
,Derby,0.96,,,Derby,0.61,,,,,,,,,,
,Everton,1.57,,,Everton,1.07,,,,,,,,,,
,Fulham,1.33,,,Fulham,0.88,,,,,,,,,,
,Huddersfield,0.68,,,Huddersfield,0.63,,,,,,,,,,
,Hull,1.13,,,Hull,0.78,,,,,,,,,,
,Ipswich,1.34,,,Ipswich,1.24,,,,,,,,,,
,Leeds,1.47,,,Leeds,1.37,,,,,,,,,,
,Leicester,1.46,,,Leicester,1.30,,,,,,,,,,
,Liverpool,2.02,,,Liverpool,1.60,,,,,,,,,,
,Man City,2.10,,,Man City,1.57,,,,,,,,,,
,Man United,2.09,,,Man United,1.66,,,,,,,,,,
,Middlesbrough,1.32,,,Middlesbrough,0.86,,,,,,,,,,
,Newcastle,1.45,,,Newcastle,1.02,,,,,,,,,,
,Norwich,1.20,,,Norwich,0.71,,,,,,,,,,
,Portsmouth,1.38,,,Portsmouth,0.81,,,,,,,,,,
,QPR,1.05,,,QPR,0.96,,,,,,,,,,
,Reading,1.25,,,Reading,1.14,,,,,,,,,,
,Sheffield United,1.05,,,Sheffield United,0.54,,,,,,,,,,
,Southampton,1.40,,,Southampton,1.05,,,,,,,,,,
,Stoke,1.31,,,Stoke,0.79,,,,,,,,,,
,Sunderland,1.08,,,Sunderland,0.87,,,,,,,,,,
,Swansea,1.35,,,Swansea,0.95,,,,,,,,,,
,Tottenham,1.81,,,Tottenham,1.35,,,,,,,,,,
,Watford,1.19,,,Watford,0.90,,,,,,,,,,
,West Brom,1.19,,,West Brom,0.87,,,,,,,,,,
,West Ham,1.44,,,West Ham,1.07,,,,,,,,,,
,Wigan,1.11,,,Wigan,0.97,,,,,,,,,,
,Wolves,1.20,,,Wolves,0.97,,,,,,,,,,
,Grand Total,1.52,,,Grand Total,1.16,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Row Labels,Average of Home_corners,Average of Home_shots,Average of Home_shots_on_target,,,Row Labels,Average of Away_corners,Average of Away_shots,Average of Away_shots_on_target,,,,,,
,Arsenal,7.32,15.64,7.76,,,Arsenal,5.22,12.22,5.84,,,,,,
,Aston Villa,6.15,11.86,5.38,,,Aston Villa,4.99,10.17,4.76,,,,,,
,Birmingham,5.62,10.26,5.32,,,Birmingham,4.25,8.00,4.13,,,,,,
,Blackburn,5.77,12.66,6.43,,,Blackburn,4.96,9.57,5.01,,,,,,
,Blackpool,4.95,13.32,7.05,,,Blackpool,4.84,10.16,5.32,,,,,,
,Bolton,6.16,13.33,7.40,,,Bolton,4.64,9.58,4.83,,,,,,
,Bournemouth,5.68,12.54,4.20,,,Bournemouth,5.00,10.75,3.65,,,,,,
,Bradford,5.68,11.63,5.32,,,Bradford,3.74,7.89,3.84,,,,,,
,Brentford,4.31,11.63,4.06,,,Brentford,3.50,10.19,3.81,,,,,,
,Brighton,5.51,12.88,3.49,,,Brighton,4.19,10.01,3.33,,,,,,
,Burnley,4.78,11.25,3.91,,,Burnley,3.94,9.30,3.32,,,,,,
,Cardiff,5.39,12.05,3.74,,,Cardiff,4.18,9.95,2.89,,,,,,
,Charlton,5.50,10.80,5.80,,,Charlton,4.65,8.17,4.15,,,,,,
,Chelsea,6.79,16.37,7.60,,,Chelsea,5.61,13.54,6.11,,,,,,
,Coventry,6.68,11.21,5.00,,,Coventry,4.16,9.26,4.32,,,,,,
,Crystal Palace,5.49,12.22,4.17,,,Crystal Palace,4.53,9.84,3.42,,,,,,
,Derby,4.70,9.40,4.51,,,Derby,3.67,6.98,3.60,,,,,,
,Everton,6.21,13.32,6.12,,,Everton,4.76,10.37,4.76,,,,,,
,Fulham,5.37,12.05,5.96,,,Fulham,4.22,9.40,4.49,,,,,,
,Huddersfield,4.92,10.79,2.95,,,Huddersfield,3.68,9.21,3.08,,,,,,
,Hull,4.83,11.64,4.61,,,Hull,4.08,9.43,3.61,,,,,,
,Ipswich,7.05,13.89,6.87,,,Ipswich,4.26,9.61,4.05,,,,,,
